City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
346,Sabang,ID,5.89,95.32,79.9,77,100,1.66,light rain
347,Beringovskiy,RU,63.05,179.32,27.61,86,27,4.36,scattered clouds
348,Martapura,ID,-3.42,114.85,75.54,94,90,2.08,overcast clouds
349,Tucuman,AR,-26.82,-65.22,84.2,30,0,8.05,clear sky
350,Carutapera,BR,-1.2,-46.02,89.6,55,41,12.64,scattered clouds
351,Port Macquarie,AU,-31.43,152.92,59.0,87,75,6.93,broken clouds
352,Warrnambool,AU,-38.38,142.48,45.59,85,3,7.61,clear sky
353,Ilulissat,GL,69.22,-51.1,12.2,61,40,2.24,scattered clouds
354,Mamlyutka,KZ,54.94,68.54,41.58,79,100,13.98,overcast clouds
355,Vallenar,CL,-28.57,-70.76,78.51,28,5,9.15,clear sky
356,Arlit,NE,18.74,7.39,87.17,12,0,5.5,clear sky
357,Brigantine,US,39.41,-74.36,66.99,59,1,3.36,clear sky
358,Maloy,NO,61.94,5.11,48.2,93,100,1.12,overcast clouds
359,Skjervoy,NO,70.03,20.97,38.16,84,100,40.98,light rain
360,Yaypan,UZ,40.38,70.82,57.97,28,96,3.4,overcast clouds
361,Gewane,ET,10.17,40.65,88.23,31,0,11.77,clear sky
362,Emmett,US,43.87,-116.5,42.01,76,1,2.19,clear sky
363,Seymchan,RU,62.88,152.43,0.09,90,100,7.52,overcast clouds
364,Axim,GH,4.87,-2.24,81.54,79,55,7.47,light rain
365,Otradnoye,RU,59.78,30.82,48.99,69,6,9.82,clear sky
